the_creation                         ,"   The Creation                         ","  Genesis 1:1-2:7          ",Genesis 1:1-2:7
adam_and_eve                         ,"   Adam and Eve                         ","  Genesis 2:8-3:24         ",Genesis 2:8-3:24
cain_and_abel                        ,"   Cain and Abel                        ","  Genesis 4:1-16           ",Genesis 4:1-16
the_great_flood                      ,"   The Great Flood                      ","  Genesis 6:1-9:17         ",Genesis 6:1-9:17
the_tower_of_babel                   ,"   The Tower of Babel                   ","  Genesis 11:1-9           ",Genesis 11:1-9
god_calls_abraham                    ,"   God Calls Abraham                    ","  Genesis 12:1-9           ",Genesis 12:1-9
sodom_and_gomorrah                   ,"   Sodom and Gomorrah                   ","  Genesis 18:16-19:29      ",Genesis 18:16-19:29
abrahams_obedience                   ,"   Abraham's Obedience                  ","  Genesis 22:1-19          ",Genesis 22:1-19
isaac_marries_rebekah                ,"   Isaac Marries Rebekah                ","  Genesis 24:1-67          ",Genesis 24:1-67
esaus_birthright                     ,"   Esau's Birthright                    ","  Genesis 25:19-34         ",Genesis 25:19-34
isaac_blesses_jacob                  ,"   Isaac Blesses Jacob                  ","  Genesis 27:1-40          ",Genesis 27:1-40
jacob_and_laban                      ,"   Jacob and Laban                      ","  Genesis 29:1-31:55       ",Genesis 29:1-31:55
jacob_wrestles                       ,"   Jacob Wrestles                       ","  Genesis 32:1-33:20       ",Genesis 32:1-33:20
revenge_against_schechem             ,"   Revenge against Schechem             ","  Genesis 34:1-31, 49:5-7  ","Genesis 34:1-31, 49:5-7"
joseph_in_prison                     ,"   Joseph in Prison                     ","  Genesis 39:1-40:23       ",Genesis 39:1-40:23
joseph_as_a_ruler                    ,"   Joseph as a Ruler                    ","  Genesis 41:1-57          ",Genesis 41:1-57
family_reunion                       ,"   Family Reunion                       ","  Genesis 42-45, 46:28-30  ","Genesis 42-45, 46:28-30"
moses_birth                          ,"   Moses' Birth                         ","  Exodus 1:1-2:10          ",Exodus 1:1-2:10
the_burning_bush                     ,"   The Burning Bush                     ","  Exodus 3:1-22            ",Exodus 3:1-22
the_ten_plagues                      ,"   The Ten Plagues                      ","  Exodus 7:14-12:30        ",Exodus 7:14-12:30
